!! Abja-Paluoja
Kasteheina tänav
Kiige tänav
Kodu tänav

Lasteaia tänav
Lehola tänav
Looga tänav

Maleva tänav
Mardi tänav

Pargi tänav
Pargitaguse tänav
Pihla tänav
Puru tee

Ridaküla tänav
Ritsika tänav

Salu tänav
Sõnajala tänav
Sõpruse tänav

Tabori tänav
Tammiku tänav
Tammiku põik
Tartu maantee
Tervise tänav
Toome puiestee

Vilja tänav
Väike tänav

Õpetajate tänav

Järve linnaosa
Aia tänav

Eduard Vilde tänav
Ehitajate tänav
Elektriku tänav
Endla tänav

Friedrich Reinhold Kreutzwaldi tänav

Gaasi tänav

Ida tänav
Inseneri tänav

Järve tänav
Järve põik
Järveküla tee

Kaevuri tänav
Kalevi tänav
Karja tänav
Karja põik
Karl Lutsu tänav
Katse tänav
Kauba tänav
Keemia tänav
Keskallee
Kivi tee
Kuu tänav
Käva tänav

Lai tänav
Lembitu tänav
Lille tänav
Lille põik
Lydia Koidula tänav
Lõuna tänav

Marsi tänav
Metsa tänav
Metsapargi tänav
Mõisa tee

Niidu tänav
Noorte tänav

Oktoobri tänav
Olevi tänav
Outokumpu tänav
Outokumpu põik

Pavandu tänav
Piiri tänav
Pikk tänav
Pioneeri tänav
Pisuhänna tänav
Päikese tänav
Pärna tänav
Põhja allee
Põllu tänav

Raudtee tänav
Ravi tänav
Rea tänav
Ringi tänav
Roheline tänav

Sakala tänav
Sakala põik
Siidisuka tänav
Sinivoore tänav
Spordi tänav

Tehase tänav
Tehnika tänav
Tehnika põik
Torujõe tänav
Turu tänav
Tuuslari tänav
Tööstuse tänav

Uus tänav
Uus-Tehase tänav

Vabaduse tänav
Vabriku tänav
Vahtra tänav

Õuna tänav

Kukruse linnaosa
Hoovi tänav

Jõhvi maantee

Lehe tänav
Lehe põik

Mäe tänav

Nurga tänav

Paate tänav
Põhja tänav

Staadioni tänav

Võsa tänav

Õnne tänav
Õnne põik

Oru linnaosa
Briketi tänav
Briketi tänav

Kase tänav
Kesk tänav

Männi tänav

Vikerkaare tänav
Virmalise tänav

!! Kunda
Aia tänav
Aiamaa tee
Astangu tänav

Eha tänav
Ehitajate tänav

Jaama tänav
Jõe tänav

Kalda tänav
Kalevi tänav
Kalmistu tee
Kasemäe põik
Kasemäe tänav
Klubi tänav
Koidu põik
Koidu tänav
Kungla tänav

Laane tänav
Lasteaia tänav
Lembitu tänav
Lepiku tee
Lontova tee
Loode tänav
Lähta tee

Maakoha tee
Mageranna tee
Mere tänav
Metsa tänav
Mäe põik
Mäe tänav

Pargi põik
Pargi tänav
Pioneeri tänav
Posti tänav

Rahvamaja tänav
Rakvere maantee
Ranna tee
Raudkatku tänav

Sadama tee
Sadama tänav
Sauna tänav
Selja tee
Spordi tänav
Staadioni tänav

Tammiku põik
Toolse tee
Turu tänav
Tähe tänav
Tööstuse tänav

Uus-Sadama tee

Videviku tänav
Võidu tänav

!! Kuressaare
Abaja tänav
Aia tänav
Allee tänav
Anton Lutsu tänav
Arhiivi tänav
August Kitzbergi tänav

Eha

Garnisoni

Haigla
Hariduse
Heina tänav
Humala tänav

Ida tänav

Jaama tänav
Juhan Smuuli tänav
Jõe tänav

Kaare tänav
Kadaka tänav
Kaevu tänav
Kalda puiestee
Kalevi põik
Kalevi tänav
Kaluri tee
Kannikese tänav
Karikakra põik
Karikakra tänav
Karja tänav
Karl Ojassoo tänav
Kase tänav
Kastani tänav
Kauba tänav
Kelluka tänav
Kesk tänav
Kevade tänav
Kihelkonna maantee
Kiivitaja tänav
