!! Abja-Paluoja
Niidu tänav
Nurme tänav

Metsa tänav
Munamäe tänav
Mäe tänav
Männi tänav

Oru tänav

Paju tänav
Palupera tee
Pargi tänav
Pedaja tee
Pihlaka tänav
Piiri tänav
Pikk tänav
Põllu tänav
Pärna tänav
Pühajärve tee

Ranna tee

Saare tänav
Savikoja tänav
Sireli tänav
Sulaoja tee

Tamme puiestee
Tartu maantee
Tehase tänav
Tehvandi tänav
Tehvandi põik
Tennisevälja tänav
Tiigi tänav
Tähe tänav

Uus tänav

Vahe tänav
Vahtra tänav
Valga maantee
Valga põik
Virulombi tänav
Võidu tänav
Võru maantee

Õuna tänav

!! Paide
Aasa
Aiavilja

Eha
Ehitajate

Jaama
Jõe
Järve tee

Kaevu
Karja
Kase
Kastani
Keskväljak
Kevade
Kitsas
Kivimurru
Koidu
Kooli
Kure
Kuu

Lai
Lembitu puiestee
Liiva
Looduse
Luige
Lühike

Nooruse
Nurme

Parkali
Peetri
Pikk
Posti
Põllu
Prääma tee
Puuvilja
Pärna
Pärnu
Pärnuvälja

Rahu
Raja
Raudtee
Ringtee
Ristiku
Roheline
Ruubassaare tee
Rüütli

Soo
Suur-Aia
Suur-Kaare
Sõpruse

Tallinna
Telliskivi
Tiigi
Tähe
Tööstuse

Uus

Vahe
Vainu
Vaksali
Valli
Veski
Väike-Aia

!! Paldiski
Amandus Adamsoni
Ingeri tee
Jaama - Jaani tee - Salavat Julajevi tee
Kadaka - Kalmistu - Kivi
Leetse tänav - Lepiku - Lõuna
Majaka tee - Marina - Mere - Mereäär - Muuli
Paekaare - Pakri - Pargi - Peetri - Põhja - Põllu
Rae - Rae põik
Sadama - Soomepoiste
Tallinna maantee - Tuule
Vana-Tallinna maantee

!! Pärnu
Aasa tänav
Aeru tänav
Aia tänav
Aida tänav
Aisa tänav
Akadeemia tänav
Allika tänav
Amandus Adamsoni tänav
Angerja tänav
Ankru tänav
A. H. Tammsaare puiestee
Aru tänav
Arukase tänav
Astri tänav
Auli tänav

Betooni tänav

Edela tänav
Eha tänav
Ehitajate tee
Emajõe tänav
Energia tänav
Esplanaadi tänav

Gildi tänav

Haapsalu maantee
Haava tänav
Haraka tänav
Hariduse tänav
Harju tänav
Havi tänav
Heina tänav
Henno tänav
Hiie tänav
Hirve tänav
Hoburaua tänav
Hobuse tänav
Hommiku tänav
Hospidali tänav
Humala tänav
Hõbe tänav
Härma tänav

Ilvese tänav

Jaama tänav
Jaani tänav
Jakobi tänav
Jalaka tänav
Johann Voldemar Jannseni tänav
Junga tänav
1. Jõe tänav
2. Jõe tänav
3. Jõe tänav
4. Jõe tänav
Jõekääru tänav
Järva tänav
Jüri tänav

Kaarli tänav
Kaasiku tänav
Kadaka tänav
Kadri tänav
Kaevu põik
Kaevu tänav
Kajaka tänav
Kakuami tänav
Kalamehe tänav
Kalda tänav
Kaldapealse tänav
Kalevi puiestee
Kaluri tänav
Kana tänav
Kanali tänav
Kanepi tänav
Kapteni tänav
Karikakra tänav
Karja tänav
Karjamaa tänav
Karu tänav
Karusselli tänav
Kasarmu tänav
Kase tänav
Kastani põik
Kastani tänav
Kauba tänav
Kaubasadama tee
Kesk tänav
Keskväljak
Kevade tänav
Kibuvitsa tänav
Kiige tänav
Kilgi tänav
Killustiku tänav
Kiltri tänav
Kirsi tänav
Kitse põik
Kitse tänav
Kivi tänav
Kodara tänav
Koidu tänav
Kolde tänav
Kooli tänav
Kopli tänav
Kreegi tänav
Kroomi tänav
Kuldse Kodu tänav
Kulla tänav
Kuninga tänav
Kuremarja tänav
Kutsari tänav
Kuu tänav
Kuuse tänav
Kõrkja tänav
Kõrtsi tänav
Käbi tänav
Kännu tänav
Käo tänav
Köie tänav

Laane tänav
Laatsareti tänav
Laeva tänav
Lahe tänav
Lai tänav
Laine tänav
Laiu tänav
Laki tänav
Lao tänav
Lauka tänav
Lehe tänav
Lehola tänav
Lembitu tänav
Lennuki tänav
Lennuvälja tee
Lepa tänav
Lepiku tänav
Liblika tänav
Liilia tänav
Liiva tänav
Liivajõe tänav
Liivi tee
Lille tänav
Lina tänav
Linda tänav
Lodja tee
Loode tänav
Looga tänav
Lootsi põik
Lootsi tänav
Lubja tänav
Luha tänav
Luite tänav
Luule tänav
Lõhe tänav
Lõo tänav
Lõuna tänav
Lätte tänav
Lääne tänav

Maagi tänav
Maarja tänav
Madara tänav
Madruse tänav
Mai tänav
Majaka tänav
Maleva tänav
Malmö tänav
Mardi tänav
Mari tänav
Marjametsa tee
Meelise tänav
Mere puiestee
Mere tänav
Merekalda tänav
Merimetsa tänav
Metalli tänav
Metsa tänav
Mihkli tänav
Mooni tänav
Munga tänav
Muraka tänav
Mureli tänav
Muru tänav
Muuli tänav
Mõisavahe tänav
Mõrra tänav
Mäe tänav
Männi tänav
Männiku tänav
Männimetsa tee
Männituka tänav
Möldri tänav
Mündi tänav

Neeme tänav
Nelgi tänav
Niidu tänav
Niidumõisa tänav
Niidupargi tänav
Niine tänav
Nikli tänav
Nikolai tänav
Nooda tänav
Noorte väljak
Nurme tee
Nurme tänav
Nurmenuku tänav
Nõmme tänav

Oja tänav
Okka tänav
Olevi tänav
Orava tänav

Pae tänav
Paide maantee
Paju tänav
Pala tänav
Papiniidu tänav
Papli tänav
Pappsaare tee
Pardi tänav
Pargi tänav
Parmu tänav
Paul Kerese tänav
Peetri tänav
Pesa tänav
Pihlaka tänav
Piiri tänav
Piirikivi tänav
Pikanõmme tee
Pikk tänav
Pilli tänav
Pilve tänav
Pirni tänav
Ploomi tänav
Pohla tänav
Pootsmani tänav
Pronksi tänav
Purje tänav
Põdra tänav
Põhja tänav
Põllu tänav
Pärja tänav
Pärlimõisa tee
Pärna tänav
Pühavaimu tänav
Püssi tänav

Raba tänav
Rahu tänav
Raja tänav
Ranna puiestee
Ranna tänav
Rannametsa tee
Raua tänav
Ravi tänav
Ree tänav
Rehepapi tänav
Reideni tänav
Remmelga tänav
Riia maantee
Riisika tänav
Ringi tänav
Ristiku tänav
Roheline tänav
Rohu tänav
Roo tänav
Roosi tänav
Roostiku tänav
Ruudu tänav
Rõugu tänav
Rääma tänav
Rähni tänav
Rävala tänav
Rüütli tänav

Saare tänav
Sadama tänav
Sakala tänav
Salme tänav
Salu tänav
Sambla tänav
Sarve tänav
Sauga-Jõekalda tänav
Saugamõisa tee
Savi tänav
Saviaugu tänav
Seedri tänav
Side tänav
Siili tänav
Sillutise tänav
Sireli tänav
Soo tänav
Sulevi tänav
Supeluse tänav
Suur-Jõe tänav
Suur-Jõekalda tänav
Suur-Kuke tänav
Suur-Posti tänav
Suur-Sepa tänav
Suur-Toome tänav
Suur-Veski tänav
Suvituse tänav
Sõeru tänav
Sõstra tänav
Sääse tänav
Söödi tänav

Talli tänav
Tallinna maantee
Tamme tänav
Tammiste tee
Tare tänav
Tarva tänav
Tedre tänav
Telliskivi tänav
Terase tänav
Tihniku tänav
Tiiru tänav
Tikri tänav
Timuti tänav
Tina tänav
Toominga tänav
Tormi tänav
Tui tänav
Tuisu tänav
Tulbi tänav
Tulepaagi tee
Tulika tänav
Turba tänav
Turu tänav
Tuule tänav
Tõlla tänav
Tähe tänav
Tüürimehe tänav

Ugandi tänav
Uku põik
Uku puiestee
Urva tänav
Uuemetsa tee
Uus tänav
Uus-Sauga tänav

Vahe tänav
Vambola tänav
Vanapargi tänav
Vana-Rääma tänav
Vana-Sauga tänav
Vana-Savi tänav
Vana-Tallinna tänav
Vase tänav
Vastla tänav
Vee tänav
Veetorni tänav
Vesiroosi tänav
Videviku tänav
Viire tänav
Vikerkaare tänav
Vilja tänav
Villa tänav
Vingi tänav
Viru tänav
Voorimehe põik
Voorimehe tänav
Võimlemise tänav
Võrgu tänav
Väike-Aru tänav
Väike-Jõe tänav
Väike-Kuke tänav
Väike-Posti tänav
Väike-Sepa tänav
Väike-Toome tänav
Väike-Veski tänav
Väina tänav

Õhtu põik
Õhtu tänav
Õie tänav
Õli tänav
Õuna tänav

Ülase tänav
Ümera tänav

!! Põltsamaa
Aasa tänav
Aia tänav
Allika tänav

Eha tänav

Gaasi tänav

Haava tänav

Jaama tänav
Julius Kuperjanovi tänav
Jõe tänav
Jõgeva maantee

Kaare tänav
Kadaka tee
Kalda tänav
Kalevi tänav
Kannikese tänav
Karja tänav
Karl August Hermanni tänav
Kase tänav
Kastani tänav
Kellukese tänav
Kesk tänav
Kesk tänav
Kibuvitsa tee
Kingu tänav
Kirde tänav
Kivi tänav
Kooli tänav
Friedrich Reinhold Kreutzwaldi tänav
Kungla tänav
Kuuse tänav
Käo tänav

Lembitu tänav
Lepa tänav
Lille tänav
Linnu tänav
Lossi tänav
Luha tänav
Lääne tänav
Lühike tänav

Marja tänav
Metsa tänav
Mäe tänav
Männi tänav

Niidu tänav
Nurme tänav

Paala tänav
Pajusi maantee
Pargi tänav
Pikk tänav
Põhja-Kaare tänav
Põhja-Kaare põik
Põllu tänav
Pärna tänav

Rahu tänav
Ranna tänav
Ringi tänav
Ringtee tänav
Ristiku tänav
Roheline tänav
Rohu tänav

Saare tänav
Sepa tänav
Silla tänav
Sireli tänav
Sõpruse tänav

Tallinna maantee
Tamme tänav
Tartu maantee
Tehnika tänav
Tehnika põik
Tuleviku põik
Tuleviku tänav
Tööstuse tee

Uus tänav

Vahe tänav
Veski tänav
Viljandi maantee
Välja tänav

Õnne tänav
Õuna tänav

Ööbiku tänav

Ülase tänav

!! Põlva
Jaama

Kase
Kesk

Maarja
Mammaste
Mäe

Oja
Oru

Puuri
Pärna

Uus

Vallamaja

!! Püssi
Aia tänav
August Kitzbergi tänav

Eduard Vilde tänav
Energeetika tänav

Hõbepaju tänav

Jõe tänav

Kalevi tänav
Kivitee tänav
Kooli tänav

Maidla tee
Metsa tänav
Männiku tänav

Pargi tänav
Põllu tänav

Raudtee tänav
Rohu tänav

Viru tänav

!! Rakvere
Aasa tänav
Aia tänav
Alevi tänav
Allika tänav
Annemäe tee
Arkna tee

Bastioni tänav

C. R. Jakobsoni tänav

Edela tänav
Eduard Vilde tänav
Eha tänav
Ehituse tänav

F. G. Adoffi tänav
F. R. Kreutzwaldi tänav

Heina tänav
Herne tänav
Härma tänav

Ilu puiestee

Juhan Kunderi tänav
Jaama puiestee

Kaevu tänav
Kagu tänav
Kaja tänav
Kajaka tänav
Kalda tänav
Kalevi tänav
Kanarbiku tänav
Karja tänav
Kasarmu tänav
Kase tänav
Kastani puiestee
Kauba tänav
Kauri tänav
Kesa tänav
Kesk põik
Kesk tänav
Kevade tänav
Kibuvitsa tänav
Kiire tänav
Killustiku tänav
Kindluse tänav
Kirsi tänav
Kivi tänav
Kodu tänav
Koidu põik
Koidu tänav
Kooli tänav
Kopteri tänav
Kotka tänav
Kraavi tänav
Kriidisoo tänav
Kruusa tänav
Kuke tänav
Kuldnoka tänav
Kulli tänav
Kungla tänav
Kure tänav
Kuusiku tänav
Kõrre tänav
Küti tänav
Kütuse tänav

Lydia Koidula tänav
Laada tänav
Lai tänav
Laskeraja tänav
Lehe tänav
Lembitu tänav
Lenduri tänav
Lennuki tänav
Lepa tänav
Lepiku tänav
Liiva tänav
Lille põik
Lille tänav
Lilleoru tänav
Lina tänav
Linda tänav
Linnu tee
Linnuse tänav
Looduse tänav
Lubja tänav
Luha tänav
Lõuna põik
Lõuna tänav
Lõõtspilli tänav
Lääne põik
Lääne tänav

Maasika tänav
Mahla tänav
Maidla tänav
Malmi tänav
Metsa põik
Metsa tänav
Metsise tänav
Mooni tänav
Mulla tänav
Murru tänav
Muru tänav
Mõisavälja tänav
Mädapea tee
Mäe tänav
Mäekalda tänav
Narva tänav

Navi tänav
Nelgi tänav
Niidu tänav
Niine tänav
Nisu tänav
Nortsu tee
Nurme tänav
Nõlvaku tänav
Nõmme tänav
Näituse tänav

Oja tänav
Olevi tänav
Orase tänav
Oru põik
Oru tänav

Pae tänav
Paemurru tänav
Paju tänav
Palermo tänav
Papiaru tänav
Parkali plats
Parkali tänav
Parmupilli tänav
Peoleo tänav
Pere tänav
Pihlaka tänav
Piiri tänav
Pikk tänav

Pilve tänav
Posti tänav
Propelleri tänav
Purde tänav
Põhja põik
Põhja tänav
Põllu tänav
Päeva tänav
Pähkli tänav
Päikese tänav
Pääsukese tänav

Rabakivi tänav
Radari tänav
Rahu tänav
Raja tänav
Raua tänav
Raudtee tänav
Ristiku tänav
Rohu tänav
Rohuaia tänav
Roo tänav
Roosi tänav
Rukki tänav
Rägavere tee
Rähni tänav
Räägu tänav

Salme tänav
Sambla tänav
Saue tänav
Saueaugu tänav
Sauna tänav
Seene tänav
Seminari tänav
Sepa tänav
Side tänav
Sihi tänav
Sikupilli tänav
Silla tänav
Sinilille tänav
Siu tänav
Soo tänav
Sooserva tänav
Sulevi tänav
Suupilli tänav
Suurtüki tänav
Suve tänav
Sõbra tänav
Söödi tänav
Sügise tänav

Taara tänav
Tallinna tänav
Tamme tänav
Tammetõru tänav
Tammiku tänav
Tartu tänav
Tedre tänav
Tehase tänav
Teliku tänav
Tellise tänav
Terase tänav
Tiigi tänav
Tiiviku tänav
Tikri tänav
Timuti tänav
Tootmise tänav
Tormi tänav
Torupilli põik
Torupilli tänav
Tulbi tänav
Tuleviku tänav
Tulika tänav
Turu plats
Tuule tänav
Tuuslari tänav
Tuvi tänav

Tõru tänav
Tõusu tänav
Tähe tänav
Tööstuse tänav

Urva tänav
Ussikuninga tänav
Ussimäe tänav
Uus tänav

Vaarika tänav
Vabaduse tänav
Vabriku tänav
Vahtra puiestee
Vainu tänav
Valguse tänav
Valli tänav
Vallikraavi tänav
Vallimäe tee
Varju tänav
Varsakopli tänav
Vase tänav
Vee tänav
Veere tänav
Vene tänav
Vesiveski tänav
Veski tänav
Viadukti tänav
Videviku tänav
Vilepilli tänav
Viru tänav
Võidu tänav
Võimla tänav
Väike tänav
Väike-Karja tänav
Välja tänav
Värvu põik
Värvu tänav
Västriku tänav

Õie tänav
Õli tänav
Õllepruuli tänav

Ööbiku tänav

Ülase tänav

!! Räpina
Aia tänav
Aianduse tänav
Apteegi tänav

Hariduse tänav

Jõe tänav
Järve tänav

Kaare tänav
Kalda tänav
Kalevi tänav
Kalevi põik
Karja tänav
Kastani tänav
Kastani põik
Koidu tänav
Kooli tänav
Kultuurimaja tänav
Kuuse tänav

Luha tänav

Meeksi maantee
Metsa tänav
Mäe tänav
Männi tänav

Nooruse tänav
Nurga tänav
Nurme tänav

Oja tänav

Pargi tänav
Penijõe tee
Piiri tänav
Põllu tänav
Pärna tänav
Pärna põik
Pääsu tänav

Rahu tänav

Sireli tänav

Tamme tänav

Vabaduse tänav
Võhandu tänav
Võru maantee
Võõpsu maantee
Väike tänav

Ülase tänav

!! Rapla
Aasa tänav
Aia tänav
Alu tee
Ao tänav

Edela tänav
Edela põik
Eha tänav
Ehitaja tänav

Hariduse tänav
Heina tänav

Jaama tänav
Jõe tänav
Jõekaare tänav
Jürna tänav

Kadaka tänav
Kalda tänav
Karja tänav
Kase tänav
Kastani tänav
Kauba tänav
Keskkooli tänav
Kevade tänav
Kodu tänav
Kohtu tänav
Koidu tänav
Kooli tänav
Krookuse tänav
Kuuse tänav
Kuusiku tee

Lasteaia tänav
Laulu tänav
Lehe tänav
Lepa tänav
Lepiku tänav
Liiva tänav
Lille tänav
Linda tänav
Loo tänav
Lõuna tänav

Mahlamäe tänav
Metsa tänav
Metsapargi tänav
Metsavahi tänav
Muruplatsi tänav
Mäe tänav
Männi tänav
Märjamaa tee

Nelgi tänav
Niidu tänav
Nurme tänav
Nurmenuku tänav

Olevi tänav

Paju tänav
Palli tänav
Pargi tänav
Piiri tänav
Puukooli tänav
Põllu tänav

Ristiku tänav
Rohu tänav

Saare tänav
Salu tänav
Sauna tänav
Savi tänav
Side tänav
Silla tänav
Soo tänav
Sulupere tänav
Suve tänav
Sügise tänav

Taara tänav
Tallinna maantee
Talve tänav
Tammemäe tänav
Telliskivi tänav
Tulbi tänav
Tutimäe tänav

Uus tänav

Vahe tänav
Vahtra tänav
Vee tänav
Veetorni tänav
Viljandi maantee
Välja tänav
Väljataguse tänav
Võsa tänav

Ööbiku tänav

Ülejõe tänav

!! Saue
Aedniku
Aiamaa
Aniisi
Ale
Istiku
Juure
Kadakamarja
Kakao
Kasesalu
Kauguse
Kesa
Kivikangru
Kiviloo
Kivipõllu
Kivipõllu põik
Kohvi
Koondise
Koore
Kuuma
Kuuseheki
Kuusemetsa
Kütise
Laanesoo
Laastu
Ladva
Lati
Laua
Lehtla
Lehtmetsa
Maamõõtja
Maastiku
Meistri
Melissi
Muskaadi
Mõõdu
Männi
Nurgakivi
Nurmesalu
Nõmmiku
Paju
Palgi
Peenra
Perve
Puidu
Pärnasalu
Pärnasalu põik
Raiesmiku
Rauna
Rauna põik
Ridva
Ridva põik
Salu
Sarapiku
Sauepargi
Segu
Sooja
Suurevälja tee
Taimla
Tammelehe
Tammepargi
Tammesalu
Tammetõru
Telje
Tule
Tule põik
Tõkke
Tõkke põik
Tähise
Töö puiestee
Uusaru
Uusaru põik
Vana-Keila maantee
Viigimarja
Viida
Välja

!! Sillamäe
Anton Tšehhovi tänav

Ehitajate tänav

Geoloogia tänav

Ivan Krõlovi tänav
Ivan Pavlovi tänav

Juri Gagarini tänav
Jõe tänav

Kajaka tänav
Kalda tänav
Kauba põik
Kesk tänav
Kooli tänav

Lev Tolstoi tänav

Maksim Gorki tänav
Mere puiestee
Mihhail Rumjantsevi tänav

Nikolai Nekrassovi tänav

Ranna tänav
Roheline tee

Sõtke tänav

Tallinna maantee
Tervise tee
Tööstuse tänav

Valeri Tškalovi tänav
Veski tänav
Viru puiestee
Vladimir Majakovski tänav

!! Sindi
Aia tänav
Aru tee
Auli tänav

Eha tänav

Hariduse tänav

Jaama tänav
Johann Cristoph Wöhrmanni puiestee
Jõe tänav
Jänese tänav

Kanarbiku tänav
Kalamaja tee
Kalda tee
Karja põik
Karja tänav
Karu tänav
Kase tänav
Kauri tänav
Keskpõik
Kesktänav
Kevade tänav
Kiivitaja tänav
Kirsi tänav
Koidu tänav
Kooli tänav
Kotka puiestee
Kuldnoka tänav
Kure tänav
Kännu tänav
Käo tänav

Lai tänav
Lauka tänav
Leevikese tänav
Lehe tänav
Liiva tänav
Linnu tee
Lohu tänav
Luha tänav
Luige tänav
Lõokese tänav
Lõuna tänav
Lühike tänav

Metsa tänav
Muraka tänav
Mureli tänav
Mänguvälja põik
Mänguvälja tänav
Männi tänav

Niidu tänav
Nooruse tänav
Nurga tänav
Nurme tänav

Orava tänav

Paide maantee
Paikuse tee
Pardi tänav
Pargi tänav
Peoleo tänav
Piiri tänav
Pikk tänav
Pirni tänav
Pioneeride puiestee
Pistriku tänav
Ploomi tänav
Pohla tänav
Põdra tänav
Põhja tänav
Põllu tänav
Pärna tänav
Pärnu maantee

Raba tänav
Rahu tänav
Raudtee tänav
Rebase tänav
Ringi tänav
Roheline tänav
Roheline põik
Rähni tänav

Sambla tänav
Seene tänav
Side tänav
Silla tänav
Sireli tänav
Soo tänav
Supluse tänav
Suve tänav

Tamme tänav
Tedre tänav
Tihase tänav
Tiigi tänav
Tiigi põik
Tiiru tänav
Turba tänav
Tõela tänav
Tööstuse tänav

Uus tänav

Vabriku tänav
Vahtra tänav
Vee tänav
Veetorni tänav
Veski põik
Veski tänav
Viira põik
Viira tänav
Vindi tänav
Vuti tänav
Väike-Karja tänav
Väike-Lohu tänav
Väike-Põllu tänav
Väike-Viira tänav

Õie tänav


!! Suure-Jaani
Aasa tänav
Aia tänav

Heina tänav

Ilmatari tänav

Jaama tänav
Johann Köleri tänav
Järve tänav

Karja tänav
Kingu tänav
Kõrge tänav

Lai tänav
Lasketiiru tänav
Lembitu puiestee
Liiva tänav
Lille tänav
Lina tänav

Mäe tänav
Männiku tee

Nurme tänav

Oja tänav

Pargi tänav
Pihlaka puiestee
Põllu tänav
Pärnu tänav

Raba tänav
Raja tänav
Ringpuiestee
Rohu tänav
Ruusi tee

Sangari tänav
Sepa tänav
Siimu tee
Supeluse tänav

Tallinna tänav
Tamme tänav
Tööstuse tänav

Uus tänav

Vambola tänav
Veski tänav
Väike tänav
Välja tänav

!! Tallinn
Aafrika
Aarde
Aasa
Aate
Abaja
Abaja põik
Abara
Amandus Adamsoni
Admiraliteedi väljak
Adra
Aedvere
Aedvilja
Aegna puiestee
Ahingu
Ahju
Ahtri
Ahvena
Aia
Aiandi
Aianduse tee
Aia tee
Aida
Aisa
Akadeemia tee
Alajaama
Alasi
Alberti
Alemaa
Alendri
Alevi
Algi
Algi põik
August Alle
Allika
Allika tee
Alliksoo
Alliksoo põik
Allveelaeva
Alvari
Amburi
Andrekse
Angerja
Angerpisti
Angervaksa
Ankru
Anne
Anni
Ao
Apteegi
Arbu
Armatuuri
Arnika tee
Artelli
Aru
Arukaskede puiestee
Asfaldi
Elisabeth Aspe
Astangu
Astla tee
Astri
Asula
Asula põik
Asunduse
Auli
Auna
Auru
Auru põik

Baikovi ja Viktooria sild
Bensiini
Betooni
Betooni põik
Eduard Bornhöhe
Bremeni käik
Börsi käik

Drevingi
Dunkri

Edela
Edu
Eerikneeme tee
Eevardi
Eha
Ehitajate tee
Ehte
Elektri
Elektroni
Endla
Enela
Energia
Erbe
Erika
Esku
Estonia puiestee

Friedrich Robert Faehlmanni
Falgi tee
Falkpargi
Filmi
Filtri tee
Forelli

Gaasi
Gildi
Nikolai von Glehni
Nikolai von Glehni põik
Gonsiori
Graniidi
Grigori
Gümnaasiumi

Haabersti
Haava
Haava põik
Haaviku tee
Haaviku põik
Hagudi
Haigru
Haki
Haldja
Haljas tee
Halla
Hallikivi
Hallivanamehe
Halsi
Halu
Hane
Hange
Hanijala
Hansu
Hao
Haraka
Hargi
Hariduse
Harju
Harksaba
Harku
Harkumetsa tee
Hauka
Havi
Heeringa
Heina
Heinamaa
Heinavälja
Heki tee
Helbe
Heli
Helme
Helmiku tee
Helmiku põik
Herilase
Karl August Hermanni
Herne
Hiidtamme
Hiie
Hiie põik
Hiiela tee
Hiiepuu
Hiiu
Hiiu-Maleva
Hiiumetsa tee
Hiiu-Suurtüki
Hipodroomi
Hirve
Hirve põik
Hobujaama
Hoburaua
Hobusepea
Hollandi
Hollandi põik
Hommiku
Hoo
Hooldekodu tee
Hospitali
Humala
Hundipea
Hunditubaka tee
Hõbeda
Hõbekuuse tee
Hõberebase
Hõimu
Häilu
Hälli
Hälli põik
Hämar tee
Hämariku
Härgmäe
Härjapea
Miina Härma
Härmatise
Hüübi

Ida tee
Idakaare
Idakaare põik
Iirise
Ilmarise
Ilo
Ilvese
Imanta
Inseneri
Invaliidi
Iru tee
Irusilla
Islandi väljak
Israeli
Iva

Jaagu
Jaama
Jaani
Jaaniku
Jaanilille tee
Jaanilille põik
Jahe tee
Jahimehe tee
Jahimehe põik
Jahu
Jakobi
Carl Robert Jakobsoni
Jalaka
Jalami
Jalgpalli tee
Jalgpalli
Johann Voldemar Jannseni
Jasmiini tee
Joa
Joone
Joostimäe
Jugapuu tee
Jugapuu põik
Juhkentali
Juhtme
Jumika tee
Jussikalda
Juure
Juurdeveo
Jõe
Jõekalda
Jõeküla tee
Jõemäe
Jõeoti
Jõesaare
Jõesuu tee
Jõhvika
Järve
Järveaasa
Järvekalda tee
Järveotsa tee
Järvevana tee
Jäägri tee
Jääraku tee
Jääraku põik
Jüri
Jürilille tee

Kaabli
Kaare
Kaare tee
Kaarla
Kaarlepere
Kaarli puiestee
Kaarna
Kaaruti
Kaasani
Kaasiku
Kabli
Kadaka puiestee
Kadaka tee
Kadri tee
Kaera
Kaeravälja
Kaevu
Kaevuri
Kagu
Kaheküla tee
Kahlu
Kahu
Kahva
Kai
Kailu tee
Kaisla
Kaitse
Kaja
Kajaka
Kakumäe tee
Kaladi
Kalamehe tee
Kalaranna
Kalasadama
Kalavälja tee
Kalda
Kaldapealse
Kalevala
Kalevi
Kalevipoja
Kalevipoja põik
Kaljase
Kalju
Kalju põik
Kallaku
Kallaste
Kalma
Kalmistu tee
Kalmuse tee
Kaluri
Kammelja
Kampri
Kana
Kanali tee
Kanarbiku
Kandle
Kanepi
Kangru
Kannikese
Kannustiiva
Kantsi
Kanuti
Artur Kapi
Johannes Kappeli
Karamelli
Kari
Karjamaa
Karjamaa põik
Karjatse
Karjavälja
Karnapi tee
Karsti
Karu
Karukella tee
Karusambla
Karuse
Karuslase
Karusmarja
Kasarmu
Kase
Kaskede puiestee
Kassi
Kassikäpa tee
Kastani
Kaste
Kasteheina
Kastevarre tee
Kastiku tee
Kasvu
Katariina käik
Katla
Katleri
Katusepapi
Kauba
Kaubamaja
Kauge
Kauka
Kauna
Kaunis
Kaupmehe
Kauri
Keava
Kedriku
Keemia
Keeru tee
Keevise
Keldrimäe
Kelluka tee
Kentmanni
Kentmanni põik
Paul Kerese
Kesa
Kesalille tee
Keskküla
Kesk-Ameerika
Kesk-Kalamaja
Kesk-Liiva
Kesk-Luha
Kesk-Kompassi
Kesk-Sõjamäe
Kesktee
Keskuse
Kessi
Ketraja
Ketta
Kevade
Kibuvitsa
Kihnu
Kiige
Kiikri
Kiili
Kiini
Kiire
Kiisa
Kiive
Kikkapuu tee
Kilbi
Kilde
Killustiku
Kilu
Kinga
Kirde
Kiriku
Kiriku plats
Kiriku põik
Kirilase
Kirsi
Kitsarööpa tee
Kitsas
Kitseküla
August Kitzbergi
Kiuru
Kivi
Kiviaia tee
Kivikülvi
Kivila
Kivimurru
Kivimäe
Kivinuka
Kivipere
Kiviranna tee
Kiviriku
Kiviräha
Kivisilla
Klaasi
Kloostri tee
Kloostrimetsa tee
Kodu
Koge
Kohila
Kohtu
Koidiku
Koidu
Lydia Koidula
Kolde puiestee
Koldrohu tee
Kollane
Komandandi tee
Komeedi
Kompassi plats
Kontpuu tee
Koogu
Kooli
Koolme
Jaan Koorti
Koovitaja
Kopli
Kopliranna
Korese
Korgi
Kose tee
Kose põik
Kosemetsa
Koskla
Kotermaa
Kotka
Kotkapoja
Kotlepi
Kotzebue
Kraavi
Kreegi
Kreegi põik
Kressi tee
Friedrich Reinhold Kreutzwaldi
Kriidi
Kristeni
Kristiina
Krookuse
Krooni
Kruusa
Kruusaranna tee
Krüüsli
Kubu
Kudu
Kuhja
Friedrich Kuhlbarsi
Kuiv
Kuke
Kukermiidi
Kuklase
Kukulinnu tänav
Kuldnoka
Kuldtiiva
Kuljuse
Kullamaa
Kullassepa
Kullerkupu
Kullese
Kulli
Kumalase
Kume
Kummeli tee
Juhan Kunderi
Juhan Kunderi põik
Kungla
Kuninga
Kupra tee
Kura
Kure
Kurekatla tee
Kuremarja
Kurepõllu
Kurereha tee
Kurikneeme tee
Kuristiku
Kurmu
Kurni
Kurni põik
Kursi
Kuru
Kuslapuu
Kuukivi
Kuukressi tee
Kuuli
Kuunari
Kuuse
Kuusenõmme tee
Kuusiku tee
Kvartsi
Kvartsliiva
Kõdra tee
Kõivu tee
Kõivu põik
Kõla
Kõlviku tee
Kõlviku põik
Kõnnu
Kõrge
Kõrgepinge
Kõrkja tee
Kõrre
Kõue
Kõver
Käba
Käbi
Käbliku
Käia
Kännu
Kännu põik
Käo
Käo põik
Käokannu tee
Käokeele tee
Käokäpa tee
Käolina
Käopoja
Kristjan Kärberi
Kärbi
Kärestiku
Kärje
Kärneri
Käru
Kätki
Käänu
Köie
Johann Köleri
Köömne
Külaniidu tee
Külma
Külmallika
Külmallika põik
Külvi
Künka
